ffmpeg version 6.1.1-3ubuntu5 Copyright (c) 2000-2023 the FFmpeg developers
  built with gcc 13 (Ubuntu 13.2.0-23ubuntu3)
  configuration: --prefix=/usr --extra-version=3ubuntu5 --toolchain=hardened --libdir=/usr/lib/x86_64-linux-gnu --incdir=/usr/include/x86_64-linux-gnu --arch=amd64 --enable-gpl --disable-stripping --disable-omx --enable-gnutls --enable-libaom --enable-libass --enable-libbs2b --enable-libcaca --enable-libcdio --enable-libcodec2 --enable-libdav1d --enable-libflite --enable-libfontconfig --enable-libfreetype --enable-libfribidi --enable-libglslang --enable-libgme --enable-libgsm --enable-libharfbuzz --enable-libmp3lame --enable-libmysofa --enable-libopenjpeg --enable-libopenmpt --enable-libopus --enable-librubberband --enable-libshine --enable-libsnappy --enable-libsoxr --enable-libspeex --enable-libtheora --enable-libtwolame --enable-libvidstab --enable-libvorbis --enable-libvpx --enable-libwebp --enable-libx265 --enable-libxml2 --enable-libxvid --enable-libzimg --enable-openal --enable-opencl --enable-opengl --disable-sndio --enable-libvpl --disable-libmfx --enable-libdc1394 --enable-libdrm --enable-libiec61883 --enable-chromaprint --enable-frei0r --enable-ladspa --enable-libbluray --enable-libjack --enable-libpulse --enable-librabbitmq --enable-librist --enable-libsrt --enable-libssh --enable-libsvtav1 --enable-libx264 --enable-libzmq --enable-libzvbi --enable-lv2 --enable-sdl2 --enable-libplacebo --enable-librav1e --enable-pocketsphinx --enable-librsvg --enable-libjxl --enable-shared
  libavutil      58. 29.100 / 58. 29.100
  libavcodec     60. 31.102 / 60. 31.102
  libavformat    60. 16.100 / 60. 16.100
  libavdevice    60.  3.100 / 60.  3.100
  libavfilter     9. 12.100 /  9. 12.100
  libswscale      7.  5.100 /  7.  5.100
  libswresample   4. 12.100 /  4. 12.100
  libpostproc    57.  3.100 / 57.  3.100
Input #0, mp3, from 'https://dreamsiteradiocp2.com/proxy/rmspain2?mp=/stream':
  Metadata:
    icy-notice1     : <BR>This stream requires <a href="http://www.winamp.com">Winamp</a><BR>
    icy-notice2     : SHOUTcast DNAS/posix(linux x64) v2.5.1.724<BR>
    icy-name        : Radio Maria Spain
    icy-genre       : Other
    icy-br          : 32
    icy-sr          : 22050
    icy-url         : 
    icy-pub         : 0
  Duration: N/A, start: 0.000000, bitrate: 32 kb/s
  Stream #0:0: Audio: mp3, 22050 Hz, mono, fltp, 32 kb/s
Stream mapping:
  Stream #0:0 -> #0:0 (mp3 (mp3float) -> pcm_s16le (native))
[segment @ 0x5ac7d64e7480] Opening '10_out_00000.wav' for writing
Output #0, segment, to '10_out_%05d.wav':
  Metadata:
    icy-notice1     : <BR>This stream requires <a href="http://www.winamp.com">Winamp</a><BR>
    icy-notice2     : SHOUTcast DNAS/posix(linux x64) v2.5.1.724<BR>
    icy-name        : Radio Maria Spain
    icy-genre       : Other
    icy-br          : 32
    icy-sr          : 22050
    icy-url         : 
    icy-pub         : 0
    encoder         : Lavf60.16.100
  Stream #0:0: Audio: pcm_s16le, 22050 Hz, mono, s16, 352 kb/s
    Metadata:
      encoder         : Lavc60.31.102 pcm_s16le
size=       0kB time=00:00:00.00 bitrate=N/A speed=N/A    
size=N/A time=00:00:12.30 bitrate=N/A speed=22.8x    
size=N/A time=00:00:24.58 bitrate=N/A speed=22.7x    
size=N/A time=00:00:36.88 bitrate=N/A speed=22.7x    
size=N/A time=00:00:49.16 bitrate=N/A speed=22.7x    
size=N/A time=00:01:01.46 bitrate=N/A speed=22.7x    
size=N/A time=00:01:08.36 bitrate=N/A speed=20.8x    
size=N/A time=00:01:08.88 bitrate=N/A speed=17.6x    
size=N/A time=00:01:09.64 bitrate=N/A speed=15.6x    
size=N/A time=00:01:10.16 bitrate=N/A speed=13.8x    
size=N/A time=00:01:10.66 bitrate=N/A speed=12.4x    
size=N/A time=00:01:11.44 bitrate=N/A speed=11.3x    
size=N/A time=00:01:11.94 bitrate=N/A speed=10.5x    
size=N/A time=00:01:12.46 bitrate=N/A speed=9.68x    
size=N/A time=00:01:13.22 bitrate=N/A speed=9.03x    
size=N/A time=00:01:14.00 bitrate=N/A speed=8.39x    
size=N/A time=00:01:14.50 bitrate=N/A speed=7.89x    
size=N/A time=00:01:15.28 bitrate=N/A speed=7.37x    
size=N/A time=00:01:16.04 bitrate=N/A speed=6.96x    
size=N/A time=00:01:16.56 bitrate=N/A speed=6.63x    
size=N/A time=00:01:17.32 bitrate=N/A speed=6.36x    
size=N/A time=00:01:17.84 bitrate=N/A speed=6.12x    
size=N/A time=00:01:18.34 bitrate=N/A speed=5.88x    
size=N/A time=00:01:19.12 bitrate=N/A speed=5.67x    
size=N/A time=00:01:19.62 bitrate=N/A speed=5.46x    
size=N/A time=00:01:20.14 bitrate=N/A speed= 5.3x    
size=N/A time=00:01:20.90 bitrate=N/A speed=5.14x    
size=N/A time=00:01:21.42 bitrate=N/A speed=4.97x    
size=N/A time=00:01:22.18 bitrate=N/A speed=4.81x    
size=N/A time=00:01:22.70 bitrate=N/A speed=4.67x    
size=N/A time=00:01:23.46 bitrate=N/A speed=4.56x    
size=N/A time=00:01:23.98 bitrate=N/A speed=4.45x    
size=N/A time=00:01:24.50 bitrate=N/A speed=4.34x    
size=N/A time=00:01:25.26 bitrate=N/A speed=4.24x    
size=N/A time=00:01:25.78 bitrate=N/A speed=4.14x    
size=N/A time=00:01:26.54 bitrate=N/A speed=4.04x    
size=N/A time=00:01:27.06 bitrate=N/A speed=3.95x    
size=N/A time=00:01:27.56 bitrate=N/A speed=3.86x    
size=N/A time=00:01:28.34 bitrate=N/A speed= 3.8x    
size=N/A time=00:01:28.84 bitrate=N/A speed=3.72x    
size=N/A time=00:01:29.62 bitrate=N/A speed=3.66x    
size=N/A time=00:01:30.12 bitrate=N/A speed= 3.6x    
size=N/A time=00:01:30.64 bitrate=N/A speed=3.53x    
size=N/A time=00:01:31.40 bitrate=N/A speed=3.48x    
size=N/A time=00:01:31.92 bitrate=N/A speed=3.42x    
size=N/A time=00:01:32.42 bitrate=N/A speed=3.37x    
size=N/A time=00:01:33.20 bitrate=N/A speed=3.32x    
size=N/A time=00:01:33.70 bitrate=N/A speed=3.27x    
size=N/A time=00:01:34.48 bitrate=N/A speed=3.21x    
size=N/A time=00:01:34.98 bitrate=N/A speed=3.16x    
size=N/A time=00:01:35.76 bitrate=N/A speed=3.13x    
size=N/A time=00:01:36.26 bitrate=N/A speed=3.09x    
size=N/A time=00:01:36.78 bitrate=N/A speed=3.04x    
size=N/A time=00:01:37.54 bitrate=N/A speed=3.01x    
size=N/A time=00:01:38.06 bitrate=N/A speed=2.97x    
size=N/A time=00:01:38.58 bitrate=N/A speed=2.93x    
size=N/A time=00:01:39.08 bitrate=N/A speed= 2.9x    
size=N/A time=00:01:39.86 bitrate=N/A speed=2.87x    
size=N/A time=00:01:40.62 bitrate=N/A speed=2.83x    
size=N/A time=00:01:41.14 bitrate=N/A speed= 2.8x    
size=N/A time=00:01:41.64 bitrate=N/A speed=2.76x    
size=N/A time=00:01:42.42 bitrate=N/A speed=2.74x    
size=N/A time=00:01:42.92 bitrate=N/A speed=2.71x    
size=N/A time=00:01:43.70 bitrate=N/A speed=2.69x    
size=N/A time=00:01:44.20 bitrate=N/A speed=2.66x    
size=N/A time=00:01:44.98 bitrate=N/A speed=2.63x    
size=N/A time=00:01:45.48 bitrate=N/A speed= 2.6x    
size=N/A time=00:01:46.26 bitrate=N/A speed=2.58x    
size=N/A time=00:01:46.76 bitrate=N/A speed=2.56x    
size=N/A time=00:01:47.28 bitrate=N/A speed=2.54x    
size=N/A time=00:01:48.04 bitrate=N/A speed=2.52x    
size=N/A time=00:01:48.82 bitrate=N/A speed=2.49x    
size=N/A time=00:01:49.32 bitrate=N/A speed=2.47x    
size=N/A time=00:01:49.84 bitrate=N/A speed=2.45x    
size=N/A time=00:01:50.34 bitrate=N/A speed=2.42x    
size=N/A time=00:01:51.12 bitrate=N/A speed= 2.4x    
size=N/A time=00:01:51.88 bitrate=N/A speed=2.39x    
size=N/A time=00:01:52.40 bitrate=N/A speed=2.37x    
size=N/A time=00:01:53.16 bitrate=N/A speed=2.35x    
size=N/A time=00:01:53.94 bitrate=N/A speed=2.34x    
size=N/A time=00:01:54.44 bitrate=N/A speed=2.32x    
size=N/A time=00:01:54.96 bitrate=N/A speed= 2.3x    
size=N/A time=00:01:55.46 bitrate=N/A speed=2.28x    
size=N/A time=00:01:56.24 bitrate=N/A speed=2.27x    
size=N/A time=00:01:57.00 bitrate=N/A speed=2.25x    
size=N/A time=00:01:57.52 bitrate=N/A speed=2.24x    
size=N/A time=00:01:58.02 bitrate=N/A speed=2.22x    
size=N/A time=00:01:58.80 bitrate=N/A speed=2.21x    
size=N/A time=00:01:59.30 bitrate=N/A speed= 2.2x    
size=N/A time=00:01:59.82 bitrate=N/A speed=2.18x    
size=N/A time=00:02:00.58 bitrate=N/A speed=2.17x    
size=N/A time=00:02:01.10 bitrate=N/A speed=2.16x    
size=N/A time=00:02:01.62 bitrate=N/A speed=2.14x    
size=N/A time=00:02:02.38 bitrate=N/A speed=2.13x    
size=N/A time=00:02:03.14 bitrate=N/A speed=2.12x    
size=N/A time=00:02:03.66 bitrate=N/A speed=2.11x    
size=N/A time=00:02:04.18 bitrate=N/A speed=2.09x    
size=N/A time=00:02:04.94 bitrate=N/A speed=2.09x    
size=N/A time=00:02:05.46 bitrate=N/A speed=2.07x    
size=N/A time=00:02:05.96 bitrate=N/A speed=2.06x    
size=N/A time=00:02:06.74 bitrate=N/A speed=2.05x    
size=N/A time=00:02:07.24 bitrate=N/A speed=2.04x    
size=N/A time=00:02:07.76 bitrate=N/A speed=2.03x    
size=N/A time=00:02:08.52 bitrate=N/A speed=2.02x    
size=N/A time=00:02:09.30 bitrate=N/A speed=2.01x    
size=N/A time=00:02:09.80 bitrate=N/A speed=   2x    
size=N/A time=00:02:10.32 bitrate=N/A speed=1.99x    
size=N/A time=00:02:11.08 bitrate=N/A speed=1.99x    
size=N/A time=00:02:11.60 bitrate=N/A speed=1.98x    
size=N/A time=00:02:12.10 bitrate=N/A speed=1.96x    
size=N/A time=00:02:12.88 bitrate=N/A speed=1.96x    
size=N/A time=00:02:13.38 bitrate=N/A speed=1.95x    
size=N/A time=00:02:13.90 bitrate=N/A speed=1.94x    
size=N/A time=00:02:14.66 bitrate=N/A speed=1.93x    
size=N/A time=00:02:15.18 bitrate=N/A speed=1.93x    
size=N/A time=00:02:15.70 bitrate=N/A speed=1.92x    
size=N/A time=00:02:16.20 bitrate=N/A speed=1.91x    
size=N/A time=00:02:16.98 bitrate=N/A speed= 1.9x    
size=N/A time=00:02:17.74 bitrate=N/A speed=1.89x    
size=N/A time=00:02:18.26 bitrate=N/A speed=1.88x    
size=N/A time=00:02:19.02 bitrate=N/A speed=1.88x    
size=N/A time=00:02:19.54 bitrate=N/A speed=1.87x    
size=N/A time=00:02:20.04 bitrate=N/A speed=1.86x    
size=N/A time=00:02:20.82 bitrate=N/A speed=1.86x    
size=N/A time=00:02:21.58 bitrate=N/A speed=1.85x    
size=N/A time=00:02:22.10 bitrate=N/A speed=1.84x    
size=N/A time=00:02:22.60 bitrate=N/A speed=1.83x    
size=N/A time=00:02:23.38 bitrate=N/A speed=1.83x    
size=N/A time=00:02:23.88 bitrate=N/A speed=1.82x    
size=N/A time=00:02:24.40 bitrate=N/A speed=1.82x    
